benchmark_id	state_id	candidate_strategy	score_field	k	oracle_top_m	candidate_count	oracle_action_recall	oracle_node_recall	regret	best_in_topk_delta_tc	oracle_best_delta_tc	top1_real_delta_tc	top1_regret	negative_top1
subckt_0304	initial	cached_random	hard_reduction_total_pred	16	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_random	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_random	hybrid_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_random	hybrid_pred	16	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_random	hybrid_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0350	initial	cached_stride	reward_pred	8	5	24	0.2	0.75	0.009429999999999938	0.009800000000000031	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	reward_pred	16	5	24	0.8	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	reward_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	guarded_reward	8	5	24	0.6	0.75	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	guarded_reward	16	5	24	0.8	0.75	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	guarded_reward	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hard_reduction_total_pred	8	5	24	0.4	0.5	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hard_reduction_total_pred	16	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hybrid_pred	8	5	24	0.4	0.5	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hybrid_pred	16	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hybrid_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	reward_pred	8	5	24	0.2	0.5	0.009429999999999938	0.009800000000000031	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	reward_pred	16	5	24	0.4	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	reward_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	guarded_reward	8	5	24	0.4	1.0	0.009429999999999938	0.009800000000000031	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	guarded_reward	16	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	guarded_reward	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hard_reduction_total_pred	8	5	24	0.6	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hard_reduction_total_pred	16	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hybrid_pred	8	5	24	0.6	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hybrid_pred	16	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hybrid_pred	24	5	24	1.0	1.0	0.0	0.01922999999999997	0.01922999999999997	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_random	reward_pred	8	5	24	0.2	0.8	0.00016999999999989246	0.009800000000000031	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	reward_pred	16	5	24	1.0	1.0	0.0	0.009969999999999923	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	reward_pred	24	5	24	1.0	1.0	0.0	0.009969999999999923	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	guarded_reward	8	5	24	0.6	0.6	0.00016999999999989246	0.009800000000000031	0.009969999999999923	0.009800000000000031	0.00016999999999989246	0
subckt_0350	initial	cached_random	guarded_reward	16	5	24	0.8	0.8	0.00016999999999989246	0.009800000000000031	0.009969999999999923	0.009800000000000031	0.00016999999999989246	0
subckt_0350	initial	cached_random	guarded_reward	24	5	24	1.0	1.0	0.0	0.009969999999999923	0.009969999999999923	0.009800000000000031	0.00016999999999989246	0
subckt_0350	initial	cached_random	hard_reduction_total_pred	8	5	24	0.4	0.6	0.00016999999999989246	0.009800000000000031	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hard_reduction_total_pred	16	5	24	0.8	1.0	0.00016999999999989246	0.009800000000000031	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.009969999999999923	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hybrid_pred	8	5	24	0.4	0.6	0.00016999999999989246	0.009800000000000031	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hybrid_pred	16	5	24	0.8	1.0	0.00016999999999989246	0.009800000000000031	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hybrid_pred	24	5	24	1.0	1.0	0.0	0.009969999999999923	0.009969999999999923	-0.009070000000000022	0.019039999999999946	1
