checkpoint	epoch	class	bin	low	high	count	mean_confidence	positive_rate	abs_gap	brier	ece
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	4	0.4	0.5	22	0.4498822729695927	0.0	0.4498822729695927	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	5	0.5	0.6000000000000001	33	0.5567930792317246	0.0	0.5567930792317246	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	6	0.6000000000000001	0.7000000000000001	41	0.6415259678189348	0.024390243902439025	0.6171357239164957	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	7	0.7000000000000001	0.8	20	0.733413603901863	0.0	0.733413603901863	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	8	0.8	0.9	96	0.870942230646809	0.010416666666666666	0.8605255639801423	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	9	0.9	1.0	82	0.9349720935995985	0.024390243902439025	0.9105818496971595	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	0	0.0	0.1	1747	0.059940894569883905	0.0	0.059940894569883905	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	1	0.1	0.2	3809	0.15943437598373797	0.0	0.15943437598373797	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	2	0.2	0.30000000000000004	5930	0.25426258691296005	0.0	0.25426258691296005	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	3	0.30000000000000004	0.4	4255	0.3404345999873483	0.00023501762632197415	0.3401995823610263	0.23374567381819925	0.4211215311514697
