checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0001	1	9	__aig_and_7144::observe	observe	__aig_not_7149::observe	observe	0	1	2.1869999999999945	3.1930000000000014	1.0060000000000069	0	0.644087327036082	0.7666666666666667
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0001	1	9	new_n819::control1	control1	__aig_not_7149::observe	observe	0	0	2.4519999999999986	3.1930000000000014	0.7410000000000028	0	0.2088931871468374	0.5666666666666667
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0001	1	9	__aig_and_7134::observe	observe	__aig_not_7149::observe	observe	0	1	-0.16200000000000658	3.1930000000000014	3.355000000000008	1	-0.12185435916898849	0.4666666666666667
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0002	2	9	__aig_and_7148::observe	observe	new_n827::control1	control1	0	0	1.4660000000000006	2.4050000000000016	0.939000000000001	0	0.24370871833797697	0.6
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0002	2	9	new_n827::control1	control1	new_n827::control1	control1	1	1	2.4050000000000016	2.4050000000000016	0.0	0	-0.19148542155126763	0.4
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0002	2	9	__aig_and_7134::observe	observe	new_n827::control1	control1	0	0	-0.18900000000000583	2.4050000000000016	2.5940000000000074	1	-0.5744562646538028	0.23333333333333334
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0004	4	9	__aig_and_7182::observe	observe	__aig_and_7182::observe	observe	1	1	7.206999999999997	7.206999999999997	0.0	0	-0.24771684715343112	0.32
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0004	4	9	new_n825::control1	control1	__aig_and_7182::observe	observe	0	0	2.0029999999999992	7.206999999999997	5.203999999999998	0	-0.35781322366606716	0.36
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0004	4	9	__aig_and_7134::observe	observe	__aig_and_7182::observe	observe	0	1	-0.21299999999999653	7.206999999999997	7.419999999999994	1	-0.46790960017870326	0.28
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0008	8	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	5.659999999999998	5.659999999999998	0.0	0	0.766938357656236	0.95
