rank,combo,label,best_hard_f1,best_epoch,n_runs,best_source,best_checkpoint
30,lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.374816,3,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
31,lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.2, lh=0.7, lhr=0.5",0.372536,4,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
32,lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.372442,-2,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
33,lh0p45__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.15, lh=0.45, lhr=0.5",0.372230,2,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
34,lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=mixed, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.5",0.371846,3,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
35,lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=mixed, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.05, lh=0.7, lhr=0.5",0.370676,-2,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
36,lh0p5__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.05, lh=0.5, lhr=0.5",0.367804,4,1,autoresearch/predictive-260625-154634/runs/lh0p5__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p5__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
37,lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.366753,-1,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
38,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.05, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.363371,-1,1,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
39,lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.5",0.360809,4,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
40,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.359675,3,2,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
41,lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.1, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.358996,-2,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
42,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=3.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.357340,2,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
43,lh0p5__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.08, lh=0.5, lhr=0.5",0.355888,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
44,lh0p45__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.08, lh=0.45, lhr=0.5",0.349080,2,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
45,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhmlp__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=MLP, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.344932,4,1,autoresearch/core-component-ablation-260626-run-head-mlp/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhmlp__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-head-mlp/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhmlp__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
46,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=3.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.344156,3,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
47,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek1p0__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=1.0, lhc=0.1, lh=0.5, lhr=0.5",0.327700,3,1,autoresearch/core-component-ablation-260626-run-edge-fault-path-full/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek1p0__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-edge-fault-path-full/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek1p0__fc0p0/epoch_003.pt
48,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=4.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.327021,4,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
49,lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.5, lhc=0.1, lh=0.5, lhr=0.5",0.326435,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0/epoch_003.pt
50,lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.03, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.321076,4,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
51,lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.05, lh=0.7, lhr=0.5",0.318634,2,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p05__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
52,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=3.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.310308,3,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
53,lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.03, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.308126,3,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
54,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewmean__ek1p0__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=mean, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=1.0, lhc=0.1, lh=0.5, lhr=0.5",0.305147,1,1,autoresearch/core-component-ablation-260626-run-edge-mean/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewmean__ek1p0__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-edge-mean/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewmean__ek1p0__fc0p0/epoch_001.pt
55,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=2.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.303725,1,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
56,lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.301328,4,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
57,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.05, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.299398,2,1,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p05__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
