dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	72	2.0	0.00011027777777768934	-0.9992659042527735	-0.46305857645677695	subckt_0204
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	62.98148148148148	-0.008559814814814914	-0.999999732598226	-0.9969497232542428	subckt_0230
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	43.22222222222222	-0.007977222222222207	-0.999773107416544	-0.99993920048634	subckt_0231
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	5.37037037037037	-0.0007831481481482017	-0.9998684594763657	-0.9438121809150289	subckt_0239
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	314.35185185185185	0.0016479629629629997	-0.9785056649661747	-0.9642839372545908	subckt_0240
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	4.055555555555555	-5.4444444444538886e-05	-0.9989907709058531	-0.6294651817966898	subckt_0241
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	1.037037037037037	-6.537037037031557e-05	-0.9999645748680808	-0.4565393870070602	subckt_0256
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	20.40740740740741	-0.00030796296296299835	-0.9970501793411807	-0.9864129593206842	subckt_0260
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	6.0	-0.019391111111111078	-0.9999918499778542	-0.9955582096267005	subckt_0261
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	57.666666666666664	-0.0029466666666666335	-1.0	-1.0	subckt_0266
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	5.916666666666667	0.00013388888888899185	-0.9998990408457734	-0.7625720264570338	subckt_0267
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	72	2.111111111111111	-0.00040208333333323614	-0.9997294614567004	-0.5712685746253712	subckt_0275
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	313.27777777777777	0.008455555555555487	-0.9989882493696711	-1.0	subckt_0279
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	222.2037037037037	-0.00038574074074072774	-0.9987060018790332	-0.9998065502080831	subckt_0288
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	32.861111111111114	0.0002905555555556163	-0.9982761448652357	-0.8130848732267196	subckt_0289
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	22.63888888888889	0.000504444444444444	-0.9997131840158586	-0.8524640257830457	subckt_0292
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	56.22222222222222	0.05275944444444443	-0.9996524844678597	-1.0	subckt_0297
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	1.0555555555555556	-0.0001850000000000974	-0.999931158364991	-0.5559226642726629	subckt_0300
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	4.2592592592592595	-0.007516666666666609	-0.999992600851306	-0.9979953204028872	subckt_0313
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	99.03703703703704	0.0063900000000000215	-0.9989251018716467	-0.9011075743382124	subckt_0315
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	2.0277777777777777	-3.1666666666674784e-05	-0.9996347440340481	-0.33968311024337866	subckt_0317
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	1.0833333333333333	-0.0003041666666668152	-0.9999411332088166	-0.4708283488249027	subckt_0319
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	19.86111111111111	0.0003772222222222112	-0.9988753318444489	-0.8130848732267196	subckt_0322
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	7.027777777777778	2.99999999999791e-05	-0.9969038721014155	-0.3464101615137754	subckt_0324
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	11.11111111111111	0.019327037037037028	-0.9999754502229709	-0.9980606659710765	subckt_0327
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	2.9444444444444446	0.00013749999999990351	-0.9999291179010645	-0.525381039430488	subckt_0332
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	8.37962962962963	-0.0034024074074074226	-0.9999681365424479	-0.9897123612750156	subckt_0338
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	253.57407407407408	0.003998981481481507	-0.9992722764430647	-0.9284026997905878	subckt_0360
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	5.083333333333333	-0.00011805555555561484	-0.9997392643404447	-0.525381039430488	subckt_0364
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	198.94444444444446	0.006083333333333269	-0.9884695047779354	-0.9439611732657964	subckt_0370
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	23.10185185185185	0.03893333333333333	-0.9997329870488265	-0.9869336811500448	subckt_0373
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	17.88888888888889	0.0004506481481480306	-0.9997085472941704	-0.7624725889853056	subckt_0375
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	21.444444444444443	-0.007267962962963053	-0.9997977246812282	-0.9961736545607488	subckt_0384
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	72	11.055555555555555	-1.9305555555658696e-05	-0.9994780089981545	-0.6295891480897653	subckt_0385
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	10.101851851851851	-2.1388888888974947e-05	-0.9967381153862344	-0.5530763056067609	subckt_0387
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	3.0277777777777777	9.999999999992432e-06	-0.9979387359967895	-0.3464101615137754	subckt_0390
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	6.333333333333333	-0.0009548148148148277	-0.9998661190561114	-0.9993621318320449	subckt_0391
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	72	2.0	0.0001663888888888889	-0.9994287856254396	-0.41576139833445275	subckt_0393
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	2.9444444444444446	0.0007038888888889834	-0.9984789650554756	-0.6128700972453796	subckt_0394
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	18.87037037037037	-0.007123518518518513	-0.9999766543730431	-1.0	subckt_0395
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	4320	-0.2726743941486909	-8.053472222224375e-05	0.7002345736357501	0.9803368281206551	
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	1.8827552923383755	0.0034916666666666134	0.9999993063178191	1.0	subckt_0001
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.1399676312978158	0.00028722222222219167	0.9999979384892859	1.0	subckt_0012
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.018497447433640863	2.305555555549143e-05	0.9999999333016105	0.9999999999999998	subckt_0015
