dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
oracle_balanced_train_wide	subckt_0313	oracle_hard_fault_count	oracle_delta_tc	54	4.2592592592592595	-0.007516666666666609	-0.999992600851306	-0.9979953204028872	0	9	-0.0368099999999999	0.01875
oracle_balanced_train_wide	subckt_0313	oracle_hard_fault_count	oracle_delta_fault_coverage	54	4.2592592592592595	-0.007516666666666609	-0.999992600851306	-0.9979953204028872	0	9	-0.0368099999999999	0.01875
oracle_balanced_train_wide	subckt_0313	oracle_hard_fault_count	oracle_undetected_fault_count	54	4.2592592592592595	4.2592592592592595	0.9999999999999999	1.0	0	9	0.0	9.0
oracle_balanced_train_wide	subckt_0315	oracle_hard_fault_count	oracle_test_coverage	54	99.03703703703704	0.6615600000000001	-0.9989251018716452	-0.9011075743382124	51	102	0.6506799999999999	0.8253400000000001
oracle_balanced_train_wide	subckt_0315	oracle_hard_fault_count	oracle_fault_coverage	54	99.03703703703704	0.6615600000000001	-0.9989251018716452	-0.9011075743382124	51	102	0.6506799999999999	0.8253400000000001
oracle_balanced_train_wide	subckt_0315	oracle_hard_fault_count	oracle_delta_tc	54	99.03703703703704	0.0063900000000000215	-0.9989251018716467	-0.9011075743382124	51	102	-0.0044899999999999	0.1701700000000001
oracle_balanced_train_wide	subckt_0315	oracle_hard_fault_count	oracle_delta_fault_coverage	54	99.03703703703704	0.0063900000000000215	-0.9989251018716467	-0.9011075743382124	51	102	-0.0044899999999999	0.1701700000000001
oracle_balanced_train_wide	subckt_0315	oracle_hard_fault_count	oracle_undetected_fault_count	54	99.03703703703704	99.03703703703704	0.9999999999999999	0.9999999999999999	51	102	51.0	102.0
oracle_balanced_train_wide	subckt_0317	oracle_hard_fault_count	oracle_test_coverage	36	2.0277777777777777	0.9957483333333337	-0.9996347440340422	-0.33968311024337866	2	3	0.9937	0.99582
oracle_balanced_train_wide	subckt_0317	oracle_hard_fault_count	oracle_fault_coverage	36	2.0277777777777777	0.9957483333333337	-0.9996347440340422	-0.33968311024337866	2	3	0.9937	0.99582
oracle_balanced_train_wide	subckt_0317	oracle_hard_fault_count	oracle_delta_tc	36	2.0277777777777777	-3.1666666666674784e-05	-0.9996347440340481	-0.33968311024337866	2	3	-0.0020799999999999	3.999999999992898e-05
oracle_balanced_train_wide	subckt_0317	oracle_hard_fault_count	oracle_delta_fault_coverage	36	2.0277777777777777	-3.1666666666674784e-05	-0.9996347440340481	-0.33968311024337866	2	3	-0.0020799999999999	3.999999999992898e-05
oracle_balanced_train_wide	subckt_0317	oracle_hard_fault_count	oracle_undetected_fault_count	36	2.0277777777777777	2.0277777777777777	0.9999999999999998	1.0	2	3	2.0	3.0
oracle_balanced_train_wide	subckt_0319	oracle_hard_fault_count	oracle_test_coverage	36	1.0833333333333333	0.9953858333333332	-0.9999411332088171	-0.4708283488249027	1	3	0.98729	0.99576
oracle_balanced_train_wide	subckt_0319	oracle_hard_fault_count	oracle_fault_coverage	36	1.0833333333333333	0.9953858333333332	-0.9999411332088171	-0.4708283488249027	1	3	0.98729	0.99576
oracle_balanced_train_wide	subckt_0319	oracle_hard_fault_count	oracle_delta_tc	36	1.0833333333333333	-0.0003041666666668152	-0.9999411332088166	-0.4708283488249027	1	3	-0.0084	6.999999999990347e-05
oracle_balanced_train_wide	subckt_0319	oracle_hard_fault_count	oracle_delta_fault_coverage	36	1.0833333333333333	-0.0003041666666668152	-0.9999411332088166	-0.4708283488249027	1	3	-0.0084	6.999999999990347e-05
oracle_balanced_train_wide	subckt_0319	oracle_hard_fault_count	oracle_undetected_fault_count	36	1.0833333333333333	1.0833333333333333	1.0	1.0	1	3	1.0	3.0
oracle_balanced_train_wide	subckt_0322	oracle_hard_fault_count	oracle_test_coverage	36	19.86111111111111	0.9665972222222222	-0.9988753318444523	-0.8130848732267196	18	21	0.96465	0.9698
oracle_balanced_train_wide	subckt_0322	oracle_hard_fault_count	oracle_fault_coverage	36	19.86111111111111	0.9665972222222222	-0.9988753318444523	-0.8130848732267196	18	21	0.96465	0.9698
oracle_balanced_train_wide	subckt_0322	oracle_hard_fault_count	oracle_delta_tc	36	19.86111111111111	0.0003772222222222112	-0.9988753318444489	-0.8130848732267196	18	21	-0.0015699999999999	0.00358
oracle_balanced_train_wide	subckt_0322	oracle_hard_fault_count	oracle_delta_fault_coverage	36	19.86111111111111	0.0003772222222222112	-0.9988753318444489	-0.8130848732267196	18	21	-0.0015699999999999	0.00358
