checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
horizon_joint_late	typed_return_pred	subckt_0266	prefix_0144	144	9	__aig_and_32887::observe	observe	new_n28906::control1	control1	0	0	0	1.1319999999999997	0.20799999999999708	1.0619999999999963	0.8539999999999992	0	0.18646746349572288	0.6060606060606061	0.625
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0266	prefix_0144	144	9	__aig_not_61946::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.0340000000000118	1.0619999999999963	1.0279999999999845	0	0.49365724849494175	0.6818181818181818	0.4375
horizon_joint_late	typed_marginal_pred	subckt_0266	prefix_0176	176	9	__aig_not_61946::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.034000000000000696	0.9180000000000077	0.884000000000007	0	0.5966597228393727	0.6764705882352942	0.5714285714285714
horizon_joint_late	typed_return_pred	subckt_0266	prefix_0176	176	9	__aig_not_61946::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.034000000000000696	0.9180000000000077	0.884000000000007	0	0.16807316136320358	0.5588235294117647	0.42857142857142855
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0266	prefix_0176	176	9	__aig_not_61946::observe	observe	new_n28906::control1	control1	0	0	0	1.228000000000018	0.034000000000000696	0.9180000000000077	0.884000000000007	0	0.033614632272640714	0.5294117647058824	0.14285714285714285
horizon_joint_late	typed_marginal_pred	subckt_0266	prefix_0208	208	9	__aig_not_32109::observe	observe	new_n28906::control1	control1	0	0	0	0.45400000000000995	0.031999999999998696	0.8489999999999998	0.8170000000000011	0	0.8086937042208112	0.84375	0.4
horizon_joint_late	typed_return_pred	subckt_0266	prefix_0208	208	9	__buf_split_40525::control0	control0	new_n28906::control1	control1	0	0	0	0.8489999999999998	-0.060000000000004494	0.8489999999999998	0.9090000000000042	1	-0.3490151776110869	0.40625	0.4
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0266	prefix_0208	208	9	__aig_not_32109::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.031999999999998696	0.8489999999999998	0.8170000000000011	0	0.37455287353384936	0.625	0.8
horizon_joint_late	typed_marginal_pred	subckt_0266	prefix_0240	240	9	__buf_split_40519::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.09700000000000264	0.7869999999999933	0.6899999999999906	0	0.8568843355587695	0.896551724137931	0.8
horizon_joint_late	typed_return_pred	subckt_0266	prefix_0240	240	9	new_n16338::observe	observe	new_n28906::control1	control1	0	0	0	0.8439999999999892	0.09700000000000264	0.7869999999999933	0.6899999999999906	0	-0.17487435419566724	0.4827586206896552	0.4
