variant	feature	weight
action_type_linear	hard_reduction_sa1_pred__rank_pct_group	-0.0258804801851511
action_type_linear	benchmark_id=subckt_0275	0.025462767109274864
action_type_linear	benchmark_id=subckt_0384	0.024919725954532623
action_type_linear	benchmark_id=subckt_0332	-0.024518616497516632
action_type_linear	benchmark_id=subckt_0128	0.024080630391836166
action_type_linear	derived_hard_reduction_total_pred__rank_pct_group	0.02382996864616871
action_type_linear	derived_hard_count_post_total_pred__z_group	-0.022822173312306404
action_type_linear	benchmark_id=subckt_0083	-0.021840684115886688
action_type_linear	benchmark_id=__UNK__	-0.02167956717312336
action_type_linear	benchmark_id=subckt_0197	-0.021626481786370277
action_type_linear	benchmark_id=subckt_0204	-0.021143343299627304
action_type_linear	reward_pred__minus_group_mean	-0.020914606750011444
action_type_linear	benchmark_id=subckt_0041	0.02025572396814823
action_type_linear	benchmark_id=subckt_0322	0.019796553999185562
action_type_linear	fc_pred__rank_pct_group	-0.019575349986553192
action_type_linear	benchmark_id=subckt_0390	-0.01873806305229664
action_type_linear	guarded_reward__z_group	-0.017946206033229828
action_type_linear	fc_pred__minus_group_mean	0.017566069960594177
action_type_linear	candidate_strategy=__UNK__	-0.017265507951378822
action_type_linear	benchmark_id=subckt_0256	-0.016815166920423508
action_type_linear	benchmark_id=subckt_0141	-0.014782359823584557
action_type_linear	benchmark_id=subckt_0012	-0.014201016165316105
action_type_linear	fc_pred__z_group	0.013917871750891209
action_type_linear	benchmark_id=subckt_0165	0.01315412949770689
action_type_linear	benchmark_id=subckt_0193	0.012889750301837921
action_type_linear	benchmark_id=subckt_0387	-0.012479634024202824
action_type_linear	benchmark_id=subckt_0266	-0.011038489639759064
action_type_linear	benchmark_id=subckt_0360	-0.011013636365532875
action_type_linear	benchmark_id=subckt_0231	-0.010973135009407997
action_type_linear	candidate_strategy=cached_random	-0.01079221535474062
action_type_linear	benchmark_id=subckt_0292	-0.010194274596869946
action_type_linear	reward_pred__z_group	0.009612305089831352
action_type_linear	reward_pred__rank_pct_group	-0.009523609653115273
action_type_linear	return_pred__minus_group_mean	-0.009110764600336552
action_type_linear	benchmark_id=subckt_0393	-0.008352900855243206
action_type_linear	benchmark_id=subckt_0136	-0.008241966366767883
action_type_linear	benchmark_id=subckt_0327	-0.007149859797209501
action_type_linear	benchmark_id=subckt_0391	0.0065626115538179874
action_type_linear	benchmark_id=subckt_0069	0.00573441619053483
action_type_linear	derived_hard_reduction_hybrid_pred__z_group	-0.005676001776009798
action_type_linear	benchmark_id=subckt_0015	-0.0051657469011843204
action_type_linear	bounded_residual_hybrid_pred__minus_group_mean	-0.004924081265926361
