benchmark_id	state_id	candidate_strategy	node	type	action_key	oracle_delta_tc	reward_pred	guarded_reward	hard_reduction_total_pred	hybrid_pred	status
b15_C	initial	cached_hard_cone	__buf_split_5	observe	__buf_split_5::observe	3.0000000000085514e-05	0.24225471913814545	0.20539212226867676	-0.06980305910110474	-6.532659068703651	ok
b15_C	initial	cached_hard_cone	N16719	control0	N16719::control0	0.030510000000000037	0.24339185655117035	0.21170414984226227	-0.06945711374282837	-6.490615367889404	ok
b15_C	initial	cached_hard_cone	N16719	control1	N16719::control1	0.030550000000000077	0.25855404138565063	0.2217971682548523	-0.06283414363861084	-5.803063154220581	ok
b15_C	initial	cached_hard_cone	N16719	observe	N16719::observe	3.0000000000085514e-05	0.23850293457508087	0.20602324604988098	-0.069207563996315	-6.476230219006538	ok
b15_C	initial	cached_hard_cone	__buf_split_7	control0	__buf_split_7::control0	0.030590000000000006	0.2648738622665405	0.2239552140235901	-0.06434638798236847	-5.945809721946716	ok
b15_C	initial	cached_hard_cone	__buf_split_7	control1	__buf_split_7::control1	0.030590000000000006	0.27815747261047363	0.23377732932567596	-0.057385485619306564	-5.226613759994507	ok
b15_C	initial	cached_hard_cone	__buf_split_7	observe	__buf_split_7::observe	3.0000000000085514e-05	0.24225465953350067	0.20539213716983795	-0.06980305910110474	-6.532659113407135	ok
b15_C	initial	cached_hard_cone	N16721	control0	N16721::control0	0.030550000000000077	0.24339185655117035	0.21170414984226227	-0.06945711374282837	-6.490615367889404	ok
b15_C	initial	cached_hard_cone	N16721	control1	N16721::control1	0.030550000000000077	0.25855404138565063	0.2217971682548523	-0.06283417344093323	-5.80306613445282	ok
b15_C	initial	cached_hard_cone	N16721	observe	N16721::observe	3.0000000000085514e-05	0.23850293457508087	0.2060232311487198	-0.06920754909515381	-6.47622874379158	ok
b15_C	initial	cached_hard_cone	__buf_split_9	control0	__buf_split_9::control0	0.030590000000000006	0.2648738622665405	0.2239551693201065	-0.06434641778469086	-5.945812746882439	ok
b15_C	initial	cached_hard_cone	__buf_split_9	control1	__buf_split_9::control1	0.030590000000000006	0.2781575322151184	0.2337772697210312	-0.057385530322790146	-5.226618230342865	ok
b15_C	initial	cached_hard_cone	__buf_split_9	observe	__buf_split_9::observe	3.0000000000085514e-05	0.24225468933582306	0.20539209246635437	-0.06980308890342712	-6.532662108540535	ok
b15_C	initial	cached_hard_cone	N16723	control0	N16723::control0	0.030550000000000077	0.24339185655117035	0.21170416474342346	-0.06945711374282837	-6.490615352988243	ok
b15_C	initial	cached_hard_cone	N16723	control1	N16723::control1	0.030550000000000077	0.25855404138565063	0.2217971682548523	-0.06283417344093323	-5.80306613445282	ok
b15_C	initial	cached_hard_cone	N16723	observe	N16723::observe	3.0000000000085514e-05	0.23850293457508087	0.2060232311487198	-0.06920754909515381	-6.47622874379158	ok
b15_C	initial	cached_hard_cone	__buf_split_11	control0	__buf_split_11::control0	0.030590000000000006	0.2648738622665405	0.2239551991224289	-0.06434641778469086	-5.945812717080116	ok
b15_C	initial	cached_hard_cone	__buf_split_11	control1	__buf_split_11::control1	0.030590000000000006	0.27815741300582886	0.23377732932567596	-0.05738552287220955	-5.22661754488945	ok
