checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
incumbent	b15_C	initial	cached_hard_cone	31	__buf_split_11	control0	__buf_split_11::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__control0	-0.02081429958343506	-0.02081429958343506	0.2648738622665405	0.0026487386226654052	0.2239551991224289	0.2239551991224289	-0.06434643268585205	-5.945814207196236	-6.312436003237963	0.08932938426733017	8.932938426733017	0.3065982460975647	-0.12485502660274506	-0.016846830025315285	0.28189918398857117	0.043117329478263855	16170.09765625	14725.6328125
incumbent	b15_C	initial	cached_hard_cone	32	__buf_split_11	control1	__buf_split_11::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__control1	-0.011036470532417297	-0.011036470532417297	0.27815747261047363	0.0027815747261047364	0.2337772697210312	0.2337772697210312	-0.057385530322790146	-5.22661828994751	-5.610569346696138	0.06067737936973572	6.067737936973572	0.30893218517303467	-0.12495674192905426	-0.015015626326203346	0.23963819444179535	0.017731130123138428	16170.09765625	15188.9384765625
incumbent	b15_C	initial	cached_hard_cone	33	__buf_split_11	observe	__buf_split_11::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__observe	-0.030962307006120682	-0.030962307006120682	0.24225462973117828	0.0024225462973117826	0.20539206266403198	0.20539206266403198	-0.06980308890342712	-6.532662197947502	-6.86839721724391	0.06364660710096359	6.364660710096359	0.3071504235267639	-0.12431548535823822	-0.019221017137169838	0.27637359499931335	0.01259724609553814	16170.09765625	15140.92578125
incumbent	b15_C	initial	cached_hard_cone	34	N16725	control0	N16725::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16725__control0	-0.03104841336607933	-0.03104841336607933	0.24339188635349274	0.0024339188635349274	0.2117041051387787	0.2117041051387787	-0.06945711374282837	-6.4906153827905655	-6.831937376409769	0.08232016861438751	8.232016861438751	0.3052205443382263	-0.1231745183467865	-0.019513411447405815	0.2983400523662567	0.030459493398666382	16168.671875	14837.6640625
incumbent	b15_C	initial	cached_hard_cone	35	N16725	control1	N16725::control1	ok	0.030510000000000037	0.030510000000000037	0	0.84815	0.84815	3526	3526		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16725__control1	-0.02119382470846176	-0.02119382470846176	0.25855398178100586	0.002585539817810059	0.22179725766181946	0.22179725766181946	-0.06283418834209442	-5.803067594766617	-6.163331024348736	0.061170872300863266	6.117087230086327	0.30561530590057373	-0.12358315289020538	-0.017760729417204857	0.2614961862564087	0.013078100048005581	16168.671875	15179.6201171875
incumbent	b15_C	initial	cached_hard_cone	36	N16725	observe	N16725::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16725__observe	-0.03236565738916397	-0.03236565738916397	0.2385028749704361	0.002385028749704361	0.20602311193943024	0.20602311193943024	-0.069207563996315	-6.476230412721634	-6.809624902904034	0.059301238507032394	5.930123850703239	0.30690330266952515	-0.12395913898944855	-0.01946876384317875	0.2943631410598755	0.0028691363986581564	16168.671875	15209.849609375
incumbent	b15_C	initial	cached_hard_cone	37	__buf_split_13	control0	__buf_split_13::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_13__control0	-0.020814262330532074	-0.020814262330532074	0.2648738622665405	0.0026487386226654052	0.2239551544189453	0.2239551544189453	-0.06434641778469086	-5.9458127617836	-6.312434524297714	0.08932957053184509	8.93295705318451	0.3065982460975647	-0.12485502660274506	-0.01684683747589588	0.28189921379089355	0.04311755672097206	16170.0966796875	14725.62890625
incumbent	b15_C	initial	cached_hard_cone	38	__buf_split_13	control1	__buf_split_13::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_13__control1	-0.011036451905965805	-0.011036451905965805	0.27815747261047363	0.0027815747261047364	0.2337772250175476	0.2337772250175476	-0.057385530322790146	-5.226618334650993	-5.610569357872009	0.06067756563425064	6.067756563425064	0.30893224477767944	-0.12495672702789307	-0.015015633776783943	0.23963825404644012	0.017731355503201485	16170.0966796875	15188.9345703125
incumbent	b15_C	initial	cached_hard_cone	39	__buf_split_13	observe	__buf_split_13::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_13__observe	-0.030962202697992325	-0.030962202697992325	0.24225468933582306	0.0024225468933582305	0.20539206266403198	0.20539206266403198	-0.06980307400226593	-6.532660648226738	-6.868395712226629	0.06364673376083374	6.364673376083374	0.30715036392211914	-0.12431548535823822	-0.019221028313040733	0.27637356519699097	0.012597471475601196	16170.0966796875	15140.9228515625
incumbent	b15_C	initial	cached_hard_cone	40	N16727	control0	N16727::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16727__control0	-0.031048394739627838	-0.031048394739627838	0.2433919459581375	0.0024339194595813752	0.21170412003993988	0.21170412003993988	-0.06945711374282837	-6.4906153082847595	-6.831937357783318	0.08232004940509796	8.232004940509796	0.3052205443382263	-0.1231745183467865	-0.019513411447405815	0.29833996295928955	0.030459418892860413	16168.671875	14837.666015625
incumbent	b15_C	initial	cached_hard_cone	41	N16727	control1	N16727::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16727__control1	-0.021193787455558777	-0.021193787455558777	0.25855398178100586	0.002585539817810059	0.22179725766181946	0.22179725766181946	-0.06283418834209442	-5.803067594766617	-6.163331024348736	0.06117081269621849	6.117081269621849	0.3056153655052185	-0.12358315289020538	-0.01776072569191456	0.26149624586105347	0.013078025542199612	16168.671875	15179.62109375
incumbent	b15_C	initial	cached_hard_cone	42	N16727	observe	N16727::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16727__observe	-0.03236562758684158	-0.03236562758684158	0.23850293457508087	0.0023850293457508085	0.20602315664291382	0.20602315664291382	-0.06920754909515381	-6.476228818297386	-6.809623386710882	0.059301238507032394	5.930123850703239	0.30690330266952515	-0.12395913898944855	-0.019468771293759346	0.2943630814552307	0.0028691363986581564	16168.671875	15209.849609375
incumbent	b15_C	initial	cached_hard_cone	43	__buf_split_15	control0	__buf_split_15::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_15__control0	-0.02081426978111267	-0.02081426978111267	0.2648738622665405	0.0026487386226654052	0.2239551544189453	0.2239551544189453	-0.06434641778469086	-5.9458127617836	-6.312434524297714	0.08932951092720032	8.932951092720032	0.3065982460975647	-0.12485502660274506	-0.016846830025315285	0.28189918398857117	0.04311755672097206	16170.095703125	14725.62890625
incumbent	b15_C	initial	cached_hard_cone	44	__buf_split_15	control1	__buf_split_15::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_15__control1	-0.011036444455385208	-0.011036444455385208	0.27815747261047363	0.0027815747261047364	0.2337772101163864	0.2337772101163864	-0.05738551542162895	-5.226616859436035	-5.61056787148118	0.060677509754896164	6.067750975489616	0.30893218517303467	-0.12495671212673187	-0.015015630051493645	0.23963811993598938	0.017731355503201485	16170.095703125	15188.9345703125
