split	checkpoint_name	method	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	oracle_delta_tc	q_pred	q_calibrated
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	2	__buf_split_9	control1	__buf_split_9::control1	-0.0031199999999999006	0.10609574615955353	0.30820131462827927
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	3	__buf_split_9	observe	__buf_split_9::observe	0.003630000000000022	0.2693873345851898	0.4258650508532684
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	4	__buf_split_11	control0	__buf_split_11::control0	-0.0031199999999999006	-0.2996877133846283	0.015804147030060233
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	5	__buf_split_11	control1	__buf_split_11::control1	-0.0031199999999999006	0.13268470764160156	0.32736063924802145
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	6	__buf_split_11	observe	__buf_split_11::observe	0.003630000000000022	0.25758254528045654	0.4173588220368572
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	7	__buf_split_12	control0	__buf_split_12::control0	-0.0031199999999999006	-0.24244163930416107	0.05705420176627093
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	8	__buf_split_12	control1	__buf_split_12::control1	-0.0031199999999999006	0.16033297777175903	0.347283274547473
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	9	__buf_split_12	observe	__buf_split_12::observe	0.003630000000000022	0.30486613512039185	0.4514301657988808
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	-0.3078505547845058
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.3560519575121228
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.42636375990572073
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	0.02541759455358892
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.3449206396061755
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.4513259271673257
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	-0.22854750470078689
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	0.6284393880619024
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.4775969184662993
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	1	__buf_split_9	control0	__buf_split_9::control0	-0.0031199999999999006	-0.6970760226249695	0.36759422871159614
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	2	__buf_split_9	control1	__buf_split_9::control1	-0.0031199999999999006	0.10609574615955353	0.5470957418836624
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	3	__buf_split_9	observe	__buf_split_9::observe	0.003630000000000022	0.2693873345851898	0.5836225033755126
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	4	__buf_split_11	control0	__buf_split_11::control0	-0.0031199999999999006	-0.2996877133846283	0.454965572746318
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	5	__buf_split_11	control1	__buf_split_11::control1	-0.0031199999999999006	0.13268470764160156	0.55308892557208
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	6	__buf_split_11	observe	__buf_split_11::observe	0.003630000000000022	0.25758254528045654	0.5810075337197608
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	7	__buf_split_12	control0	__buf_split_12::control0	-0.0031199999999999006	-0.24244163930416107	0.4679216398393564
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	8	__buf_split_12	control1	__buf_split_12::control1	-0.0031199999999999006	0.16033297777175903	0.5593045337905125
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	9	__buf_split_12	observe	__buf_split_12::observe	0.003630000000000022	0.30486613512039185	0.5914528558419564
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	0.3567025671710314
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.5620344880104261
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.5837756711836097
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	0.45798022948372197
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.5585683537929622
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.591421019723039
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	0.3800181477861759
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	0.6442141888069824
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.599419674934756
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	1	new_n9205_	control0	new_n9205_::control0	-0.02291999999999994	-0.7116305232048035	-0.7116305232048035
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	2	new_n9205_	control1	new_n9205_::control1	-0.02291999999999994	-0.593399703502655	-0.593399703502655
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	3	new_n9205_	observe	new_n9205_::observe	0.09676000000000007	3.560551404953003	3.560551404953003
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	4	new_n9178_	control0	new_n9178_::control0	-0.013020000000000032	-0.9708520770072937	-0.9708520770072937
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	5	new_n9178_	control1	new_n9178_::control1	-0.013020000000000032	-1.1185073852539062	-1.1185073852539062
